Year,Province,Grade,Male,Female,
2017,Sindh,16,400,93,
2017,Sindh,15,8,0,
2017,Sindh,14,407,119,
2017,Sindh,13,6,0,
2017,Sindh,12,94,1,
2017,Sindh,11,755,469,
2017,Sindh,10,8,0,
2017,Sindh,9,564,0,
2017,Sindh,8,4,673,
2017,Sindh,7,39,95,
2017,Sindh,6,40,0,
2017,Sindh,5,2415,1037,
2017,Sindh,4,181,0,
2017,Sindh,3,10,0,
2017,Sindh,2,2038,1199,
2017,Sindh,1,1929,4,
2017,KPK,21,10,0,
2017,KPK,20,58,1,
2017,KPK,19,102,7,
2017,KPK,18,120,11,
2017,KPK,17,611,36,
2017,KPK,16,647,27,
2017,KPK,14,292,8,
2017,KPK,11,219,6,
2017,Balochistan,22,1,,
2017,Balochistan,21,10,,
2017,Balochistan,20,49,,
2017,Balochistan,19,156,2,
2017,Balochistan,18,526,10,
2017,Balochistan,17,1650,54,
2017,Balochistan,16,1148,27,
2017,Balochistan,15,232,,
2017,Balochistan,14,783,33,
2017,Balochistan,13,32,,
2017,Balochistan,12,260,11,
2017,Balochistan,11,1973,76,
2017,Balochistan,10,22,2,
2017,Balochistan,9,323,25,
2017,Balochistan,8,432,19,
2017,Balochistan,7,290,,
2017,Balochistan,6,2332,14,
2017,Balochistan,5,2204,18,
2017,Balochistan,4,971,4,
2017,Balochistan,3,288,4,
2017,Balochistan,2,3372,29,
2017,Balochistan,1,7304,108,
2017,Gilgit-Baltistan,20,1,,
2017,Gilgit-Baltistan,19,14,,
2017,Gilgit-Baltistan,18,34,2,
2017,Gilgit-Baltistan,17,60,4,
2017,Gilgit-Baltistan,16,109,6,
2017,Gilgit-Baltistan,15,76,,
2017,Gilgit-Baltistan,13,80,10,
2017,Gilgit-Baltistan,11,36,,
2017,Gilgit-Baltistan,10,88,1,
2017,Gilgit-Baltistan,8,33,2,
2017,Gilgit-Baltistan,7,1,10,
2017,Gilgit-Baltistan,6,97,,
2017,Gilgit-Baltistan,5,1,,
2017,Gilgit-Baltistan,4,100,3,
2017,Gilgit-Baltistan,3,33,,
2017,Gilgit-Baltistan,2,10,,
2017,Gilgit-Baltistan,1,104,,
2018,Punjab,22,1,0,
2018,Punjab,21,5,1,
2018,Punjab,20,54,4,
2018,Punjab,19,423,66,
2018,Punjab,18,1396,494,
2018,Punjab,17,4931,2192,
2018,Punjab,16,3401,1388,
2018,Punjab,15,468,46,
2018,Punjab,14,3714,281,
2018,Punjab,13,63,6,
2018,Punjab,12,321,76,
2018,Punjab,11,5429,1021,
2018,Punjab,10,75,88,
2018,Punjab,9,7346,1125,
2018,Punjab,8,360,156,
2018,Punjab,7,591,51,
2018,Punjab,6,848,183,
2018,Punjab,5,3090,1647,
2018,Punjab,4,2812,75,
2018,Punjab,3,653,44,
2018,Punjab,2,3834,160,
2018,Punjab,1,18653,2180,
2018,Sindh,21,3,,
2018,Sindh,20,10,0,
2018,Sindh,19,66,37,
2018,Sindh,18,207,97,
2018,Sindh,17,617,167,
2018,Sindh,16,533,93,
2018,Sindh,15,5,0,
2018,Sindh,14,450,118,
2018,Sindh,13,3,0,
2018,Sindh,12,101,1,
2018,Sindh,11,1231,470,
2018,Sindh,10,13,0,
2018,Sindh,9,558,0,
2018,Sindh,8,1,673,
2018,Sindh,7,39,95,
2018,Sindh,6,40,0,
2018,Sindh,5,1369,1037,
2018,Sindh,4,241,0,
2018,Sindh,3,11,0,
2018,Sindh,2,2082,1197,
2018,Sindh,1,1935,7,
2018,KPK,21,12,0,
2018,KPK,20,53,2,
2018,KPK,19,91,4,
2018,KPK,18,239,7,
2018,KPK,17,638,38,
2018,KPK,16,686,30,
2018,KPK,14,281,7,
2018,KPK,11,214,6,
2018,Balochistan,22,1,,
2018,Balochistan,21,10,,
2018,Balochistan,20,48,,
2018,Balochistan,19,158,2,
2018,Balochistan,18,546,14,
2018,Balochistan,17,1660,51,
2018,Balochistan,16,1202,27,
2018,Balochistan,15,232,,
