TIMESTAMP,A,B,C
2022071522,7,300,885
2022071522,6,297,888
2022071522,7,297,885
2022071522,7,300,887
2022071523,7,297,886
2022071523,7,300,888
2022071523,6,300,886
2022071523,7,302,884
2022071523,7,297,885
2022071523,7,297,888
2022071600,6,297,887
2022071600,3,297,887
2022071600,1,293,890
2022071600,0,289,0
2022071600,0,295,0
2022071600,0,291,0
2022071601,0,289,0
2022071601,0,291,0
2022071601,0,278,0
2022071601,0,278,0
2022071601,0,276,0
2022071601,0,274,0
2022071602,0,272,0
2022071602,0,268,0
2022071602,0,268,0
2022071602,0,265,0
2022071602,0,259,0
2022071602,0,259,0
2022071603,0,265,0
2022071603,0,257,0
2022071603,0,257,0
2022071603,0,257,0
2022071603,0,253,0
2022071603,0,255,0
2022071604,0,250,0
2022071604,0,255,0
2022071604,0,250,0
2022071604,0,255,0
2022071604,0,250,0
2022071604,0,250,0
2022071605,0,250,0
2022071605,0,244,0
2022071605,0,250,0
2022071605,0,248,0
2022071605,0,248,0
2022071605,1,244,890
2022071606,0,244,0
2022071606,0,238,0
2022071606,0,236,0
2022071606,0,236,0
2022071606,0,233,0
2022071606,0,233,0
2022071607,0,233,0
2022071607,0,236,0
2022071607,0,236,0
2022071607,0,240,0
2022071607,0,240,0
2022071607,0,238,0
2022071608,0,238,0
2022071608,0,242,0
2022071608,0,240,0
2022071608,0,242,0
2022071608,0,246,0
2022071608,0,244,0
2022071609,0,246,0
2022071609,0,238,0
2022071609,0,246,0
2022071609,0,244,0
2022071609,0,246,0
2022071609,0,242,0
2022071610,0,248,0
2022071610,0,253,0
2022071610,0,255,0
2022071610,0,261,0
2022071610,0,261,0
2022071610,0,265,0
2022071611,0,270,0
2022071611,0,268,0
2022071611,0,270,0
2022071611,0,274,0
2022071611,0,274,0
2022071611,0,274,0
2022071612,0,278,0
2022071612,0,278,0
2022071612,0,280,0
2022071612,0,278,0
2022071612,0,282,0
2022071612,0,287,0
2022071613,0,289,0
2022071613,0,287,0
2022071613,0,287,0
2022071613,0,291,0
2022071613,0,289,0
2022071613,0,287,0
2022071614,4,285,857
2022071614,7,285,865
2022071614,0,282,0
2022071614,0,285,0
2022071614,0,280,0
2022071614,2,280,567
2022071615,6,285,862
2022071615,0,282,0
2022071615,3,285,867
2022071615,1,287,867
2022071615,0,289,0
2022071615,0,291,0
2022071616,0,293,0
2022071616,5,289,877
2022071616,0,293,0
2022071616,7,295,604
2022071616,4,293,854
2022071616,6,293,884
2022071617,0,289,0
2022071617,0,291,0
2022071617,0,282,0
2022071617,0,280,0
2022071617,0,278,0
2022071617,2,272,884
2022071618,4,270,843
2022071618,1,274,863
2022071618,7,272,865
2022071618,7,276,875
2022071618,7,274,880
2022071618,6,276,879
2022071619,7,282,879
2022071619,7,278,878
2022071619,7,280,869
2022071619,7,285,870
2022071619,7,287,870
2022071619,7,289,869
2022071620,7,289,870
2022071620,7,291,870
2022071620,6,291,870
2022071620,7,295,868
2022071620,3,289,868
2022071620,0,293,0
2022071621,0,285,0
2022071621,0,278,0
2022071621,0,276,0
2022071621,0,278,0
2022071621,0,268,0
2022071621,0,263,0
2022071622,0,259,0
2022071622,1,257,870
2022071622,0,261,0
2022071622,0,265,0
2022071622,0,255,0
2022071622,0,259,0
2022071623,0,257,0
2022071623,0,259,0
2022071623,0,259,0
2022071623,0,259,0
2022071623,0,259,0
2022071623,0,261,0
2022071700,0,259,0
2022071700,0,261,0
2022071700,0,257,0
2022071700,0,263,0
2022071700,0,261,0
2022071700,0,261,0
2022071701,0,261,0
2022071701,0,257,0
2022071701,0,263,0
2022071701,0,259,0
2022071701,0,259,0
2022071701,0,261,0
2022071702,0,261,0
2022071702,0,257,0
2022071702,0,257,0
2022071702,0,259,0
2022071702,0,265,0
2022071702,0,259,0
2022071703,0,259,0
2022071703,0,259,0
2022071703,0,257,0
2022071703,0,255,0
2022071703,0,257,0
2022071703,0,253,0
2022071704,0,255,0
2022071704,0,250,0
2022071704,0,253,0
2022071704,0,255,0
2022071704,0,250,0
2022071704,0,248,0
2022071705,0,250,0
2022071705,0,250,0
2022071705,0,248,0
2022071705,0,248,0
2022071705,0,248,0
2022071705,0,244,0
2022071706,0,246,0
2022071706,0,246,0
2022071706,0,246,0
2022071706,0,246,0
2022071706,0,242,0
2022071706,0,244,0
2022071707,0,240,0
2022071707,0,233,0
2022071707,0,242,0
2022071707,0,242,0
2022071707,0,242,0
2022071707,0,236,0
2022071708,0,242,0
2022071708,0,240,0
2022071708,0,242,0
2022071708,0,242,0
2022071708,0,242,0
2022071709,0,244,0
2022071709,0,242,0
2022071709,0,244,0
2022071709,0,244,0
2022071709,0,250,0
2022071709,0,250,0
2022071710,0,253,0
2022071710,0,257,0
2022071710,0,257,0
2022071710,0,257,0
2022071710,0,259,0
2022071710,0,259,0
2022071711,0,265,0
2022071711,0,263,0
2022071711,0,268,0
2022071711,0,268,0
2022071711,0,268,0
2022071711,0,274,0
2022071712,0,272,0
2022071712,0,272,0
2022071712,0,278,0
2022071712,0,278,0
2022071712,0,282,0
2022071712,0,276,0
2022071713,0,278,0
2022071713,0,280,0
2022071713,0,287,0
2022071713,0,282,0
2022071713,0,289,0
2022071713,0,287,0
2022071714,0,287,0
2022071714,0,287,0
2022071714,0,293,0
2022071714,0,291,0
2022071714,0,287,0
2022071714,0,287,0
2022071715,0,287,0
2022071715,0,285,0
2022071715,0,285,0
2022071715,0,276,0
2022071715,0,276,0
2022071715,0,272,0
2022071716,0,270,0
2022071716,0,268,0
2022071716,0,265,0
2022071716,0,259,0
2022071716,0,255,0
2022071716,0,253,0
2022071717,0,255,0
2022071717,0,250,0
2022071717,0,248,0
2022071717,0,248,0
2022071717,0,248,0
2022071717,0,248,0
2022071718,0,242,0
2022071718,0,246,0
2022071718,0,244,0
2022071718,0,242,0
2022071718,0,242,0
2022071718,0,240,0
2022071719,0,238,0
2022071719,0,242,0
2022071719,0,238,0
2022071719,0,238,0
2022071719,0,238,0
2022071719,0,236,0
2022071720,0,236,0
2022071720,0,233,0
2022071720,0,236,0
2022071720,0,236,0
2022071720,0,236,0
2022071720,0,238,0
2022071721,0,240,0
2022071721,0,238,0
2022071721,0,233,0
2022071721,0,233,0
2022071721,0,236,0
2022071721,0,233,0
2022071722,0,231,0
2022071722,0,238,0
2022071722,0,231,0
2022071722,0,236,0
2022071722,0,231,0
2022071722,0,231,0
2022071723,0,229,0
2022071723,0,229,0
2022071723,0,229,0
2022071723,0,229,0
2022071723,0,225,0
2022071723,0,227,0
2022071800,0,223,0
2022071800,0,223,0
2022071800,0,225,0
2022071800,0,221,0
2022071800,0,225,0
2022071800,0,221,0
2022071801,0,225,0
2022071801,0,221,0
2022071801,0,221,0
2022071801,0,218,0
2022071801,0,225,0
2022071801,0,216,0
2022071802,0,216,0
2022071802,0,214,0
2022071802,0,216,0
2022071802,0,212,0
2022071802,0,216,0
2022071802,0,216,0
2022071803,0,216,0
2022071803,0,214,0
2022071803,0,212,0
2022071803,0,216,0
2022071803,0,214,0
2022071803,0,210,0
2022071804,0,212,0
2022071804,0,216,0
2022071804,0,210,0
2022071804,0,210,0
2022071804,0,212,0
2022071804,0,210,0
2022071805,0,210,0
2022071805,0,212,0
2022071805,0,214,0
2022071805,0,216,0
2022071805,0,210,0
2022071805,0,212,0
2022071806,0,212,0
2022071806,0,210,0
2022071806,0,216,0
2022071806,0,218,0
2022071806,0,221,0
2022071806,0,216,0
2022071807,0,221,0
2022071807,0,221,0
2022071807,0,221,0
2022071807,0,227,0
2022071807,0,227,0
2022071807,0,225,0
2022071808,0,229,0
2022071808,0,229,0
2022071808,0,233,0
2022071808,0,233,0
2022071808,0,233,0
2022071808,0,238,0
2022071809,0,238,0
2022071809,0,240,0
2022071809,0,242,0
2022071809,0,238,0
2022071809,0,240,0
2022071809,0,238,0
2022071810,0,246,0
2022071810,4,246,830
2022071810,7,248,879
2022071810,6,250,884
2022071810,7,259,884
2022071810,7,265,885
2022071811,7,272,884
2022071811,7,276,883
2022071811,6,280,883
2022071811,7,285,882
2022071811,7,285,880
2022071811,7,287,879
2022071812,7,293,878
2022071812,7,293,878
2022071812,6,295,875
2022071812,7,297,875
2022071812,7,302,876
2022071812,1,304,877
2022071813,5,306,877
2022071813,7,308,877
2022071813,7,310,873
2022071813,7,310,888
2022071813,6,314,889
2022071813,7,317,886
2022071814,7,321,885
2022071814,7,325,885
2022071814,7,323,885
2022071814,6,325,880
2022071814,7,325,878
2022071814,7,327,876
2022071815,7,327,871
2022071815,7,329,871
2022071815,7,323,871
2022071815,7,325,871
2022071815,7,319,869
2022071815,7,319,870
2022071816,6,317,870
2022071816,7,317,868
2022071816,7,314,868
2022071816,7,312,871
2022071816,7,310,870
2022071816,7,306,872
2022071817,7,304,871
2022071817,7,304,873
2022071817,7,304,872
2022071817,7,304,875
2022071817,7,302,872
2022071817,6,302,874
2022071818,7,302,875
2022071818,7,300,874
2022071818,7,302,875
2022071818,7,295,877
2022071818,7,297,877
2022071818,7,297,875
2022071819,6,300,876
2022071819,7,297,876
2022071819,7,297,876
2022071819,7,293,878
2022071819,7,297,878
2022071819,7,293,877
2022071820,7,297,876
2022071820,6,295,876
2022071820,7,293,877
2022071820,7,293,877
2022071820,7,293,879
2022071820,7,291,879
2022071821,7,293,877
2022071821,6,295,880
2022071821,7,291,879
2022071821,7,291,879
2022071821,7,291,880
2022071821,7,291,880
2022071822,7,289,878
2022071822,7,295,881
2022071822,6,293,882
2022071822,7,297,879
2022071822,7,291,878
2022071822,7,295,881
2022071823,7,291,880
2022071823,7,291,879
2022071823,6,291,880
2022071823,7,291,880
2022071823,7,291,882
2022071823,7,291,881
2022071900,5,293,881
2022071900,0,282,0
2022071900,0,287,0
2022071900,0,276,0
2022071900,0,270,0
2022071900,0,261,0
2022071901,0,259,0
2022071901,0,250,0
2022071901,3,246,843
2022071901,7,250,853
2022071901,7,257,884
2022071901,7,261,889
2022071902,7,261,888
2022071902,6,265,886
2022071902,7,272,888
2022071902,7,272,887
2022071902,7,274,887
2022071902,6,276,888
2022071903,7,274,891
2022071903,7,280,886
2022071903,7,276,888
2022071903,7,274,886
2022071903,6,276,886
2022071903,7,280,890
2022071904,7,278,887
2022071904,7,280,888
2022071904,6,280,889
2022071904,7,278,888
2022071904,7,282,890
2022071904,7,285,890
2022071905,6,280,890
2022071905,7,278,891
2022071905,7,280,889
2022071905,7,278,887
2022071905,6,282,890
2022071905,7,280,889
2022071906,7,278,890
2022071906,7,282,889
2022071906,6,280,891
2022071906,7,276,904
2022071906,7,280,902
2022071906,6,278,905
2022071907,7,282,904
2022071907,7,280,904
2022071907,6,280,903
2022071907,7,285,900
2022071907,7,282,902
2022071907,6,287,895
2022071908,7,282,897
2022071908,7,285,898
2022071908,7,282,894
2022071908,6,291,893
2022071908,4,291,478
2022071908,7,291,880
2022071909,7,291,882
2022071909,6,291,880
2022071909,7,293,878
2022071909,7,293,875
2022071909,7,291,876
2022071909,7,295,873
2022071910,7,300,871
2022071910,7,295,872
2022071910,7,302,871
2022071910,7,306,869
2022071910,6,306,868
2022071910,7,310,870
2022071911,7,314,869
2022071911,7,314,869
2022071911,7,317,867
2022071911,7,317,866
2022071911,7,325,865
2022071911,7,327,866
2022071912,7,323,866
