Date,Price,Open,High,Low,Vol.,Change %
"Jul 19, 2018","41,795.59","41,298.73","41,896.08","41,298.73",178.97M,2.19%
"Jul 18, 2018","40,897.90","40,017.55","40,980.30","40,005.24",131.27M,2.42%
"Jul 17, 2018","39,932.98","39,658.99","40,012.61","39,330.88",86.40M,0.67%
"Jul 16, 2018","39,665.77","40,394.30","40,464.86","39,396.37",93.22M,-1.50%
"Jul 13, 2018","40,271.00","39,856.68","40,388.55","39,851.61",87.18M,0.99%
"Jul 12, 2018","39,875.12","39,570.24","39,916.44","39,236.73",59.18M,0.73%
"Jul 11, 2018","39,586.76","39,467.64","40,061.59","39,209.40",72.46M,0.34%
"Jul 10, 2018","39,452.81","39,261.36","39,569.79","38,561.31",116.62M,0.42%
"Jul 09, 2018","39,288.48","40,340.52","40,372.90","39,067.15",75.60M,-2.47%
"Jul 06, 2018","40,284.14","40,223.75","40,435.97","40,028.64",75.86M,0.11%
"Jul 05, 2018","40,238.81","40,350.51","40,755.22","40,106.01",93.33M,-0.26%
"Jul 04, 2018","40,345.68","41,548.23","41,548.23","40,274.72",74.72M,-2.93%
"Jul 03, 2018","41,564.42","41,738.36","41,749.14","41,513.95",42.32M,-0.41%
"Jul 02, 2018","41,734.05","41,948.67","42,136.52","41,609.90",43.09M,-0.42%
"Jun 29, 2018","41,910.90","41,998.66","42,081.88","41,750.01",90.72M,-0.21%
"Jun 28, 2018","41,997.85","41,710.35","42,077.66","41,539.29",97.00M,0.67%
"Jun 27, 2018","41,717.99","41,281.45","41,817.21","41,281.45",104.01M,1.14%
"Jun 26, 2018","41,246.09","41,006.75","41,526.57","40,990.44",91.30M,0.65%
"Jun 25, 2018","40,978.23","41,642.41","41,843.09","40,900.74",107.45M,-1.58%
"Jun 22, 2018","41,637.38","42,336.83","42,499.86","41,561.76",120.52M,-1.70%
"Jun 21, 2018","42,358.61","42,881.74","42,894.63","42,296.07",153.72M,-1.50%
"Jun 20, 2018","43,002.83","43,683.32","43,746.21","42,954.89",91.52M,-1.56%
"Jun 19, 2018","43,682.84","43,699.37","43,825.11","43,511.65",63.74M,0.00%
"Jun 14, 2018","43,680.68","43,535.38","43,731.13","43,459.47",72.20M,0.40%
